大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
曹操来见袁绍曰：“今董贼西去，正可乘势追袭；本初按兵不动，何也？”	Tào Tháo đến, thấy Viên Thiệu cũng ở đấy, bèn hỏi rằng: - Nay Đổng tặc đã kéo về Trường An rồi, ta nên thừa thế mà đuổi theo bắt nó mới phải, Bản Sơ lại đóng quân ở đây, là ý làm sao?
绍曰：“诸兵疲困，进恐无益。”	Thiệu nói: - Chư hầu đều mỏi mệt cả, đuổi theo, tôi sợ không được việc gì.
操曰：“董贼焚烧宫室，劫迁天子，海内震动，不知所归：此天亡之时也，一战而天下定矣。诸公何疑而不进？”	Tháo nói: - Thằng giặc Đổng Trác đốt cung thất, bức vua thiên đô: Trong nước rối động, dân không biết theo ai. Ấy là lúc trời hại nó đấy, nhân lúc này chỉ đánh một trận là yên thiên hạ, sao các ông không đánh?
众诸侯皆言不可轻动。	Chư hầu đều nói: - Ta không nên khinh động.
操大怒曰：“竖子不足与谋！”	Tháo giận nói rằng: - Đồ trẻ con cả, không đáng cùng mưu đồ việc lớn!
遂自引兵万余，领夏侯惇、夏侯渊、曹仁、曹洪、李典、乐进，星夜来赶董卓。	Nói rồi tự dẫn hơn một vạn quân, sai Hạ Hầu Đôn, Hạ Hầu Uyên, Tào Nhân, Tào Hồng, Lý Điển, Nhạc Tiến, luôn ngày đêm đuổi theo Đổng Trác.
且说董卓行至荥阳地方，太守徐荣出接。	Khi Đổng Trác đi đến Vinh Dương, thái thú là Từ Vinh ra tiếp.
李儒曰：“丞相新弃洛阳，防有追兵。可教徐荣伏军荥阳城外山坞之旁，若有兵追来，可竟放过；待我这里杀败，然后截住掩杀。令后来者不敢复追。”	Lý Nho nói: - Thừa tướng mới đi khỏi Lạc Dương, tôi sợ có quân đuổi theo nên sai Từ Vinh phục quân ở bên cạnh núi ngoài thành; hễ có quân đuổi theo đi qua thì cứ để cho đi, đợi khi nào đi khỏi chỗ quân phục, trong này ta đánh trở ra, nó tất thua chạy, bấy giờ ông sẽ đánh chen đường, còn quân đi sau tất không dám đuổi nữa.
卓从其计，又令吕布引精兵遏后。	Trác nghe kế ấy, sai Lã Bố đem tinh binh đi chặn hậu.
布正行间，曹操一军赶上。	Bố đang đi bỗng có một toán quân Tào xấn đến.
吕布大笑曰：“不出李儒所料也！”	Bố cười nói rằng: - Lý Nho đoán không nhầm!
将军马摆开。曹操出马，大叫：“逆贼！	Bố đem quân mã bày dàn, Tào Tháo tế ngựa gọi to: - Nghịch tặc!
劫迁天子，流徙百姓，将欲何往？”	Bay bức thiên tử và đem trăm họ đi đâu?
吕布骂曰：“背主懦夫，何得妄言！”	Lã Bố mắng rằng: - Thằng phản chủ kia, sao dám nói càn?
夏侯惇挺枪跃马，直取吕布。	Hạ Hầu Đôn vác giáo nhảy ngựa, xông thẳng vào để đâm Lã Bố.
战不数合，李傕引一军，从左边杀来，操急令夏侯渊迎敌。	Đôn với Bố đánh nhau được vài hiệp. Lý Thôi dẫn một đội quân từ bên tả kéo ra. Tháo lại sai Hạ Hầu Uyên ra địch.
右边喊声又起，郭汜引军杀到，操急令曹仁迎敌。三路军马，势不可当。	Lúc bấy giờ lại thấy ở bên hữu có tiếng reo. Quách Dĩ kéo quân ra. Tháo sai Tào Nhân ra địch, nhưng đằng kia ba mặt quân mã đánh dồn lại, thế khó đương nổi.
夏侯惇抵敌吕布不住，飞马回阵。	Hạ Hầu Đôn chống với Lã Bố không lại, phi ngựa chạy về.
布引铁骑掩杀，操军大败，回望荥阳而走。	Bố thúc quân vào đánh gấp. Quân Tháo thua chạy kéo về Vinh Dương.
走至一荒山脚下，时约二更，月明如昼。	Khi chạy đến dưới sườn núi, bấy giờ đã canh hai, trăng sáng như ban ngày.
方才聚集残兵，正欲埋锅造饭，只听得四围喊声，徐荣伏兵尽出。	Tháo sắp sửa hội quân lại làm bếp thổi cơm ăn, bỗng nghe thấy bốn mặt tiếng reo ầm ầm, quân phục của Từ Vinh xông ra.
曹操慌忙策马，夺路奔逃，正遇徐荣，转身便走。	Tào Tháo vội vàng tế ngựa cướp đường chạy trốn; không ngờ gặp ngay Từ Vinh, Tháo lại quay đầu chạy.
荣搭上箭，射中操肩膊。	Vinh giương cung bắn một phát tên trúng ngay vào vai Tháo.
操带箭逃命，踅过山坡。两个军士伏于草中，见操马来，二枪齐发，操马中枪而倒。	Tháo vừa đeo tên vừa chạy; chạy qua một rặng núi, có hai tên lính phục trong đám cỏ, trông thấy ngựa Tháo đi đến, hai ngọn giáo cùng phóng ra.
操翻身落马，被二卒擒住。	
只见一将飞马而来，挥刀砍死两个步军，下马救起曹操。	May đâu một tướng vừa tế ngựa đến, múa dao chém chết hai tên lính, cứu được Tào Tháo.
操视之，乃曹洪也。	Tháo trông xem ai thì là Tào Hồng.
操曰：“吾死于此矣，贤弟可速去！”	Tháo bảo Hồng rằng: - Thôi! Ta đành chết ở đây, hiền đệ nên trốn đi mau.
洪曰：“公急上马！	Hồng nói rằng: - Xin ông lên ngựa ngay.
洪愿步行。”	Tôi tình nguyện đi bộ.
操曰：“贼兵赶上，汝将奈何？”	Tháo hỏi: - Giặc đuổi đến nơi, ngươi làm thế nào?
洪曰：“天下可无洪，不可无公。”	Hồng nói: - Thiên hạ có thể không có tôi, nhưng không thể không có ông!
操曰：“吾若再生，汝之力也。”	Tháo nói: - Ta nếu lại được sống, thực là nhờ ngươi đó!
操上马，洪脱去衣甲，拖刀跟马而走。	Tháo lên ngựa. Hồng cởi áo giáp, cắp dao chạy theo sau.
约走至四更余，只见前面一条大河，阻住去路，后面喊声渐近。	Chạy đến độ canh tư, chẹn mất đường đi. Đằng sau nghe thấy tiếng reo hò đã đến nơi.
操曰：“命已至此，不得复活矣！”	Tháo nói: - Thôi! Mệnh ta đến thế này, sống sao được nữa!
洪急扶操下马，脱去袍铠，负操渡水。	Hồng kíp vực Tháo xuống ngựa, cởi áo bào ra, cõng Tháo lội qua sông.
才过彼岸，追兵已到，隔水放箭。操带水而走。比及天明，又走三十余里，土冈下少歇。	Vừa sang đến bờ sông bên kia, quân đuổi cũng vừa đến, tên bắn qua sông như mưa, Tháo cứ mặc cả quần áo ướt, lướt thướt mà chạy, chạy mãi đến mờ mờ sáng, được ba mươi dặm, đến một gò đất mới tạm ngồi nghỉ hơi một chốc.
忽然喊声起处，一彪人马赶来：却是徐荣从上流渡河来追。	Bỗng nghe có tiếng reo, một toán quân mã kéo lại, thì ra Từ Vinh cứ bên kia sông chạy theo lên mạn trên sang đò đuổi kịp.
操正慌急间，只见夏侯惇、夏侯渊引数十骑飞至，大喝：“徐荣无伤吾主！”	Trong khi Tháo đương hoảng hốt. Hạ Hầu Đôn, Hạ Hầu Uyên vừa đem vài mươi quân kỵ đến, quát to lên rằng: - Từ Vinh, chớ được hại chủ ta!
徐荣便奔夏侯惇，惇挺枪来迎。	Vinh xông đến đánh Hạ Hầu Đôn.
交马数合，惇刺徐荣于马下，杀散余兵。	Đôn vác giáo đâm Vinh ngã xuống ngựa, rồi đánh tan quân Vinh.
随后曹仁、李典、乐进各引兵寻到，见了曹操，忧喜交集；聚集残兵五百余人，同回河内。	Đằng sau, Tào Nhân, Lý Điển, Nhạc Tiến cũng dần dần tìm đến, ra mắt Tào Tháo, nửa lo nửa mừng. Tháo thu thập tàn quân, còn độ năm trăm, kéo về Hà Nội.
卓兵自往长安。	Tàn quân của Trác chạy về Trường An.
却说众诸侯分屯洛阳。	Đây nói ở Lạc Dương, các chư hầu chia quân đóng trại.
孙坚救灭宫中余火，屯兵城内，设帐于建章殿基上。坚令军士扫除宫殿瓦砾。	Tôn Kiên dập tắt lửa trong cung, đóng quân trong thành, đặt trướng ngay trên nền đền Kiến Chương rồi sai quân quét dọn những gạch ngói ở các cung điện.
凡董卓所掘陵寝。尽皆掩闭。	Phàm những lăng tẩm mà Đổng Trác đã khai quật lên, Kiên sai chôn cất lại cả.
于太庙基上，草创殿屋三间，请众诸侯立列圣神位，宰太牢祀之。	Lại cất ba gian điện, lợp cỏ ở trên nền nhà Thái Miếu, đặt linh vị các vua, giết trâu mổ bò, mời các chư hầu đến tế.
祭毕，皆散。	Tế xong rồi, các tướng ai về trại ấy.
坚归寨中，是夜星月交辉，乃按剑露坐，仰观天文。	Kiên về trại, đêm hôm ấy trăng sao vằng vặc, Kiên cầm thanh kiếm ra sân, ngẩng mặt lên xem thiên văn thấy trong tòa tử vi có khí trắng lờ mờ.
见紫微垣中白气漫漫，坚叹曰：“帝星不明，贼臣乱国，万民涂炭，京城一空！”	Kiên than rằng: - Đế tinh không được tỏ, cho nên tặc thần loạn nước, muôn dân phải lầm than, kinh thành không còn gì nữa.
言讫，不觉泪下。	Vừa nói vừa rỏ nước mắt khóc.
傍有军士指曰：“殿南有五色毫光起于井中，”坚唤军士点起火把，下井打捞。	Bên cạnh có tên lính trỏ tay bảo Kiên rằng: - Kia, ở phía nam điện này có hào quang năm sắc, từ dưới đáy giếng bốc lên. Kiên liền sai quân sĩ đốt đuốc xuống giếng tìm xem.
捞起一妇人尸首，虽然日久，其尸不烂：宫样装束，项下带一锦囊。取开看时，内有朱红小匣，用金锁锁着。启视之，乃一玉玺：方圆四寸，上镌五龙交纽；傍缺一角，以黄金镶之；上有篆文八字云：“受命于天，既寿永昌。”坚得玺，乃问程普。	Một lát quân mò đem lên được một cái thây người đàn bà chết đã lâu ngày nhưng chưa nát; người này mặc theo lối của cung đình, dưới cổ có đeo một cái túi gấm; mở túi ra xem thấy có một cái hộp nhỏ son son, khóa vàng; mở ra thấy một cái ấn bằng ngọc, vuông bốn tấc, trên núm dấu chạm năm con rồng; bên cạnh có sứt một miếng phải lấy vàng bịt lại; mặt dấu khắc tám chữ triện: "Phụ mệnh vu thiên, ký thọ vĩnh xương", Kiên được ấn ngọc ấy, hỏi Trình Phổ.
普曰：“此传国玺也。	Phổ nói: - Đấy là ngọc tỳ truyền quốc.
此玉是昔日卞和于荆山之下，见凤凰栖于石上，载而进之楚文王。	Ngày xưa, Biện Hòa ở dưới núi Kinh Sơn trông thấy chim phượng hoàng đậu ở trên hòn đá, đem đá ấy về tiến vua Văn Vương nước Sở.
解之，果得玉。	Lúc phá đá ra trong có hòn ngọc.
秦二十六年，令良工琢为玺，李斯篆此八字于其上。	Đến đời nhà Tần, năm thứ hai mươi sáu (hai trăm hai mươi mốt trước công nguyên) vua Tần sai thợ ngọc giũa ra làm ấn quốc bảo. Tám chữ triện viết ở trên mặt ấn là chữ Lý Tư.
二十八年，始皇巡狩至洞庭湖。风浪大作，舟将覆，急投玉玺于湖而止。	Năm thứ hai mươi tám Tần Thủy Hoàng đi tuần đến hồ Động Đình, gặp sóng to gió lớn, thuyền sắp đắm, vua vội vàng ném ngọc tỷ ấy xuống hồ mới không việc gì.
至三十六年，始皇巡狩至华阴，有人持玺遮道，与从者曰：‘持此还祖龙。’	Đến năm thứ ba mươi sáu, Thủy Hoàng đi tuần đến núi Hoa Âm, đương đi gặp một người tay cầm ngọc tỷ đứng đón đường, đưa cho quân hầu nói rằng: "Đem cái này về trả Tổ Long".
言讫不见，此玺复归于秦。	Nói xong rồi biến mất. Ấn ngọc ấy lại về nhà Tần.
明年，始皇崩。	Đến năm sau, Thủy Hoàng mất.
后来子婴将玉玺献与汉高祖。	Tử Anh đem ngọc tỷ dâng vua Cao Tổ nhà Hán.
后至王莽篡逆，孝元皇太后将玺打王寻、苏献，崩其一角，以金镶之。	Đến lúc Vương Mãng khởi loạn, Hoàng hậu, vua Hiếu Nguyên cầm ngọc ấy đánh Vương Tâm. Tô Hiến sứt mất một góc, phải lấy vàng bịt vào.
光武得此宝于宜阳，传位至今。	Vua Quang Vũ được ấn ngọc ấy ở Nghi Dương, truyền đến bây giờ.
近闻十常侍作乱，劫少帝出北邙，回宫失此宝。	Khi mười tên hoạn quan làm loạn, bức đem Thiếu Đế ra Bắc Mang, lúc về thấy mất ngọc tỷ.
今天授主公，必有登九五之分。	Nay tướng quân lại tìm được, tất là trời cho tướng quân đó. Điềm này là điềm báo tướng quân sẽ làm vua.
此处不可久留，宜速回江东，别图大事。”	Vậy tướng quân không nên ở lâu chốn này, mà nên về ngay Giang Đông để mưu toan việc lớn!
坚曰：“汝言正合吾意。	- Ngươi nói chính hợp ý ta.
明日便当托疾辞归。”	Ngày mai ta sẽ cáo bệnh về.
商议已定，密谕军士勿得泄漏。	Bàn định xong, Kiên truyền quân sĩ không được nói hở cho ai biết.
谁想数中一军，是袁绍乡人，欲假此为进身之计，连夜偷出营寨，来报袁绍。	Không ngờ trong đám quân sĩ có một người cùng làng với Viên Thiệu, biết việc đó, muốn nhân dịp tiến thân, ngay đêm hôm ấy lẻn sang báo với Viên Thiệu.
绍与之赏赐，暗留军中。	Thiệu thưởng cho người ấy rồi giữ lại ở trong quân.
次日，孙坚来辞袁绍曰：“坚抱小疾，欲归长沙，特来别公。”	Hôm sau Tôn Kiên sang trại Viên Thiệu để cáo từ, nói rằng: - Tôi hơi khó ở, xin phép về Trường Sa.
绍笑曰：“吾知公疾乃害传国玺耳。”	Thiệu cười nói rằng: - Tôi đã biết bệnh ông rồi. Bệnh ấy là bệnh ngọc tỷ!
坚失色曰：“此言何来？”	Kiên thất sắc, hỏi rằng: - Ai nói với ông thế?
绍曰：“今兴兵讨贼，为国除害。	Thiệu nói: - Nay chúng ta vì nước đánh giặc.
玉玺乃朝廷之宝，公既获得，当对众留于盟主处，候诛了董卓，复归朝廷。今匿之而去，意欲何为？”	Ngọc tỷ là của báu triều đình. Ông bắt được, nên ở chỗ minh chủ, đợi khi nào giết được Đổng Trác, thì đem trả lại nhà vua, nay ông giấu ấn ấy mà bỏ đi, định làm gì?
坚曰：“玉玺何由在吾处？”	Kiên cứ chối: - Ngọc tỷ làm gì có ở tôi?
绍曰：“建章殿井中之物何在？”	Thiệu nói: - Cái gì bắt được ở dưới giếng đền Kiến Chương, bây giờ đâu?
坚曰：“吾本无之，何强相逼？”	Kiên nói: - Tôi không có của ấy. Cưỡng bức nhau làm gì thế?
绍曰：“作速取出，免自生祸。”	Thiệu nói: - Mau mau bỏ ra đây, kẻo vạ đến thân bây giờ?
坚指天为誓曰：“吾若果得此宝，私自藏匿，异日不得善终，死于刀箭之下！”	Kiên trỏ tay lên trời thề rằng: - Tôi được của ấy mà giấu đi, thì sẽ chết dưới mũi tên hòn đạn.
众诸侯曰：“文台如此说誓，想必无之。”	Các tướng đều nói rằng: - Văn Đài đã thề như thế, chắc là không bắt được ngọc tỷ.
绍唤军士出曰：“打捞之时，有此人否？”	Thiệu gọi người làm chứng ra, hỏi Tôn Kiên rằng: - Lúc mò được ngọc, có người này ở đấy không?
坚大怒，拔所佩之剑，要斩那军士。	Kiên giận lắm, rút ngay gươm ra, định chém người ấy.
绍亦拔剑曰：“汝斩军人，乃欺我也。”	Thiệu cũng rút gươm ra bảo rằng: - Hễ mày chém nó thì đúng là mày dối tao.
绍背后颜良、文丑皆拔剑出鞘。	Nhan Lương, Văn Sú đứng sau lưng Viên Thiệu, cũng rút gươm ra.
坚背后程普、黄盖、韩当亦掣刀在手。	Sau lưng Tôn Kiên, Trình Phổ, Hoàng Cái, Hàn Dương cũng cầm dao lăm lăm ở tay.
众诸侯一齐劝住。	Các tướng đều xúm lại can đôi bên.
坚随即上马，拔寨离洛阳而去。	Kiên lập tức trở ra, lên ngựa về phổ trại, bỏ Lạc Dương đi.
绍大怒，遂写书一封，差心腹人连夜往荆州，送与刺史刘表，教就路上截住夺之。	Thiệu giận lắm, liền viết một lá thư, sai người tâm phúc ngay đêm hôm ấy đem sang Linh Châu, đưa cho quan thứ sử là Lưu Biểu, sai Biểu chẹn đường Kiên, lấy lại ngọc tỷ.
次日，人报曹操追董卓，战于荥阳，大败而回。	Hôm sau có người báo rằng: - Tào Tháo đuổi Đổng Trác, đánh nhau ở Linh Dương thua to trở về.
绍令人接至寨中，会众置酒，与操解闷。	Thiệu bèn sai người đón Tháo vào trại, mở tiệc rượu cùng với Tháo giải phiền.
饮宴间，操叹曰：“吾始兴大义，为国除贼。	Trong khi uống rượu, Tào Tháo than rằng: - Ta trước kia khởi nghĩa lớn, cốt là muốn vì nước trừ hại.
诸公既仗义而来，操之初意，欲烦本初引河内之众，临孟津、酸枣；诸将固守成皋，据敖仓，塞轘辕、太谷，制其险要；公路率南阳之军，驻丹、析，入武关，以震三辅。	Các ông đã có bụng trượng nghĩa mà đến với tôi, ý tôi muốn phiền Bản Sơ đem quân Hà Nội sang đóng ở Mạch Tân; còn các quân Toan, Tào cứ giữ vững Thành Cao, giữ cửa ải Ngao Thương, ngăn Hoàn Viên, Đại Cốc, khống chế những nơi hiểm yếu. Còn Công Lộ đem quân Nam Dương sang đóng ở Đan Triết, tiến vào cửa Vũ Quan, để cho cái uy thế ở Tam Phu to lên.
皆深沟高垒，勿与战，益为疑兵，示天下形势。以顺诛逆，可立定也。	Nơi nào cũng thành cao, hào sâu, không đánh nhau, chỉ giữ làm nghi binh, để cho thiên hạ trông rõ hình thế, cho ta là kẻ thuận đi trừ kẻ gian, thì việc lớn có thể định ngay được.
今迟疑不进，大失天下之望。操窃耻之！”	Thế mà các ông dùng dằng mãi chẳng tiến quân, làm mất cả lòng mong đợi của thiên hạ, tôi lấy làm xấu hổ quá!
绍等无言可对。	Lũ Thiệu không ai nói câu gì.
既而席散，操见绍等各怀异心，料不能成事，自引军投扬州去了。	Một chốc tiệc tan. Tháo thấy lũ Thiệu mỗi người một bụng, nghĩ cũng không làm được việc lớn, bèn tự kéo quân về Dương Châu. Công Tôn Toản thấy tình cảnh thế, cũng chán.
公孙瓒谓玄德、关、张曰：“袁绍无能为也，久必有变。	Một bữa, Toản bảo với Lưu, Quan, Trương: - Tôi xem Viên Thiệu không làm nên được trò trống gì đâu. Ở lâu tất sinh biến.
吾等且归。”	Chi bằng chúng ta hãy về.
遂拔寨北行。	Bèn nhổ trại về phía bắc.
至平原，令玄德为平原相，自去守地养军。	Đi đến huyện Bình Nguyên, Toản sai Lưu Bị làm tướng ở đó, giữ lấy đất, nuôi lấy quân.
兖州太守刘岱，问东郡太守乔瑁借粮。	Thái thú Duyên Châu Lưu Đại, thiếu lương hỏi vay thái thú Đông Quận là Kiều Mạo.
瑁推辞不与，岱引军突入瑁营，杀死乔瑁，尽降其众。	Mạo không cho vay, Đại đem quân xông vào dinh Mạo, giết Mạo đi rồi thu phục quân sĩ và thu hết quân lương.
袁绍见众人各自分散，就领兵拔寨，离洛阳，投关东去了。	Viên Thiệu thấy chư hầu mỗi người đi một ngả, cũng rời Lạc Dương kéo quân về Quan Đông.
却说荆州刺史刘表，字景升，山阳高平人也，乃汉室宗亲；幼好结纳，与名士七人为友，时号“江夏八俊”。	Thứ sử kinh Châu là Lưu Biểu, bắt được thư của Viên Thiệu xin đem quân chẹn đường Tôn Kiên, liền sai ngay Khoái Việt và Sái Mạo dẫn một vạn quân ra đón đường đánh Kiên. Lưu Biểu, tên chữ là Cảnh Thăng, quê ở Cao Bình, đất Sơn Dương, cũng là tôn thân nhà Hán. Lúc còn nhỏ Biểu kết bạn với bảy danh sĩ, bấy giờ người ta gọi là "Giang hạ bát tuấn".
那七人：汝南陈翔，字仲麟；同郡范滂，字孟博；鲁国孔昱，字世元；渤海范康，字仲真，山阳檀敷，字文友；同郡张俭，字元节；南阳岑咥，字公孝。	Trong tám người ấy thì một người là Lưu Biểu, còn bảy người nữa là: 1) Trần Tường 2) Phạm Phang 3) Khổng Giực 4) Phạm Khang 5) Đàn Phu 6) Trương Kiệm 7) Sầm Hinh.
刘表与此七人为友；有延平人蒯良、蒯越，襄阳人蔡瑁为辅。	Biểu cùng với bảy người ấy kết làm bạn, nhưng ngoài ra còn có mấy người phù tá. Một là Khoái Lương, người ở Diên Bình, hai là Khoái Việt cũng người Diên Bình, ba là Sái Mạo người ở Tương Dương.
当时看了袁绍书，随令蒯越、蔡瑁引兵一万来截孙坚。坚军方到，蒯越将阵摆开，当先出马。	Khoái Việt, Sái Mạo dẫn một vạn quân ra chẹn đường. Tôn Kiên vừa đến đó, Khoái Việt bày trận rồi nhảy ngựa ra.
孙坚问曰：“蒯异度何故引兵截吾去路？”	Kiên thấy Việt, hỏi rằng: - Khoái Việt cớ sao chẹn đường ta?
越曰：“汝既为汉臣，如何私匿传国之宝？	Việt nói: - Ngươi đã làm tôi nhà Hán, sao được giấu ngọc tỷ truyền quốc?
可速留下，放汝归去！”坚大怒，命黄盖出战。	Đưa ngay ra đây, ta sẽ cho đi... Kiên tức lắm, sai ngay Hoằng Cái ra đánh.
蔡瑁舞刀来迎。	Sái Mạo múa dao lại địch.
斗到数合，盖挥鞭打瑁正中护心镜。	Được vài hiệp, Cái hoa ngọn roi, đánh trúng ngay miếng kính che ngực Mạo.
瑁拨回马走，孙坚乘势杀过界口。	Mạo quay đầu ngựa chạy. Kiên thừa thế đuổi đánh khỏi cửa ô.
山背后金鼓齐鸣、乃刘表亲自引军来到。	Lúc bấy giờ, ở trong núi bỗng thấy chiêng trống khua rầm lên. Thì ra Lưu Biểu vừa dẫn quân đến.
孙坚就马上施礼曰：“景升何故信袁绍之书，相逼邻郡？”	Kiên ngồi trên ngựa chào hỏi tử tế, rồi nói với Lưu Biểu rằng: - Ta với Cảnh Thăng là láng giềng với nhau. Sao Cảnh Thăng lại nỡ tin lời Viên Thiệu và xử tệ với ta vậy?
表曰：“汝匿传国玺，将欲反耶？”	Biểu nói: - Nhà ngươi giấu quốc bảo, muốn làm phản à?
坚曰：“吾若有此物，死于刀箭之下！”	Kiên lại thề: - Ta mà có của ấy ở trong mình, xin chết ở dưới mũi tên viên đạn.
表曰：“汝若要我听信，将随军行李，任我搜看。”	Biểu nói: - Muốn cho ta tin, nhà ngươi phải để cho ta khám cả đồ hành lý.
坚怒曰：“汝有何力，敢小觑我！”	Kiên nổi khùng, mắng Lưu Biểu rằng: - Tài sức mày thấm vào đâu, mà dám khinh tao!
方欲交兵，刘表便退。	Hai bên sắp sửa giao binh đánh nhau, Lưu Biểu lui ngay.
坚纵马赶去，两山后伏兵齐起，背后蔡瑁、蒯越赶来，将孙坚困在垓心。	Kiên thấy vậy thả ngựa sấn lại. Bấy giờ quân phục ở sau hai rặng núi kéo ồ ra; sau lưng Khoái Việt, Sái Mạo ập lại, vây bọc lấy Tôn Kiên ở giữa trận.
正是：玉玺得来无用处，反因此宝动刀兵。	Thế rõ thực là: Ngọc tỷ đem về không dùng được. Lại vì của ấy động binh đao.
毕竟孙坚怎地脱身，且听下文分解。	Chưa biết Tôn Kiên làm thế nào mà thoát được, xem hồi sau sẽ rõ.
第七回袁绍磐河战公孙孙坚跨江击刘表	HỒI 7 Viên Thiệu qua cầu đánh Công Tôn; Tôn Kiên sang sông đá Lưu Biểu.
却说孙坚被刘表围住，亏得程普、黄盖、韩当三将死救得脱，折兵大半，夺路引兵回江东。自此孙坚与刘表结怨。	Tôn Kiên bị Lưu Biểu vây lại, đã tưởng chết, may đâu lại có Trình Phổ, Hoàng Cái, Hàn Dương, ba tướng cố sức cứu được thoát nạn, nhưng quân sĩ mất già nửa. Kiên kéo quân về Giang Đông, từ đấy Kiên với Biểu thù nhau.
且说袁绍屯兵河内，缺少粮草。	Đây nói chuyện Viên Thiệu kéo quân về đóng ở Hà Nội, lương thảo túng thiếu.
冀州牧韩馥，遣人送粮以资军用。	Quan mục Ký Châu là Hán Phức thấy vậy sai người đưa lương đến giúp để nuôi quân.
谋士逢纪说绍曰：“大丈夫纵横天下，何待人送粮为食！	Mưu sĩ Thiệu tên là Phùng Kỷ bảo với Thiệu rằng: - Đại trượng phu tung hoành thiên hạ, cần chi phải đợi người giúp lương.
冀州乃钱粮广盛之地，将军何不取之？”	Ký Châu là đất giàu, lắm lương tướng quân lấy quách đi có được không?
绍曰：“未有良策。”	Thiệu nói: - Ta cũng muốn lắm, nhưng chưa nghĩ được kế gì.
纪曰：“可暗使人驰书与公孙瓒，令进兵取冀州，约以夹攻，瓒必兴兵。	Kỷ nói: - Nay tướng quân lên mặt sai người đưa thư cho Công Tôn Toản, bảo y tiến binh lấy Ký Châu, tướng quân hẹn với Toản rằng hai bên cùng đánh. Toản tất thể nào cũng tiến binh.
韩馥无谋之辈，必请将军领州事；就中取事，唾手可得。”	Hàn Phức là đức vô mưu, tất sẽ mời tướng quân đến coi đỡ việc châu. Tướng quân thừa dịp ấy mà lấy Ký Châu thì việc dễ như trở bàn tay.
绍大喜，即发书到瓒处。	Thiệu mừng lắm, viết ngay thư cho Công Tôn Toản.
瓒得书，见说共攻冀州，平分其地，大喜，即日兴兵。	Toản xem thấy thư Viên Thiệu bàn cùng đánh lấy Ký Châu rồi chia đôi đất, mừng lắm. Ngay hôm ấy Toản khởi hành.
绍却使人密报韩馥。	Thiệu sai người mật báo cho Hàn Phức biết.
馥慌聚荀谌、辛评二谋士商议。	Phức bèn gọi hai mưu sĩ tên là Tuân Thầm và Tân Bình để bàn.
谌曰：“公孙瓒将燕、代之众，长驱而来，其锋不可当。	Thầm nói: - Công Tôn Toản đem quân nước Yên, nước Đại kéo lại đông lắm, thế mình không đương nổi.
兼有刘备、关、张助之，难以抵敌。	Vả Toản có Lưu Bị, Quan Vũ, Trương Phi giúp đỡ, ta địch sao được?
今袁本初智勇过人，手下名将极广，将军可请彼同治州事，彼必厚待将军，无患公孙瓒矣。”	Nay Viên Thiệu trí dũng hơn người, thủ hạ nhiều, danh tướng lắm, tướng quân nên mời Viên Thiệu lại để cùng coi việc châu. Tôi chắc Thiệu sẽ hậu đãi, tướng quân sợ gì Công Tôn Toản nữa.
韩馥即差别驾关纯去请袁绍。	Phức liền sai biệt giả tên là Quan Thuần sang mời Viên Thiệu.
长史耿武谏曰：“袁绍孤客穷军，仰我鼻息，譬如婴儿在股掌之上，绝其乳哺，立可饿死。奈何欲以州事委之？此引虎入羊群也。”	Trưởng sử là Cảnh Vũ can rằng: - Viên Thiệu bây giờ đương thân cô, thế cùng, chỉ trông nhờ vào ta, ví như đứa trẻ con ở trên bàn tay không cho bú mớm thì chết ngay, nay lại đem châu quận của mình mà trao cho nó, thì có khác gì đưa con cọp vào giữa đàn dê!
馥曰：“吾乃袁氏之故吏，才能又不如本初。	Phức nói: - Ta cũng là đấy tớ cũ họ Viên, tài ta lại kém Thiệu.
古者择贤者而让之，诸君何嫉妒耶？”	Người ngày xưa từng chọn người hiền để nhường ngôi, sao các ngươi bây giờ hay ghen ghét thế?
耿武叹曰：“冀州休矣！”	Cảnh Vũ than rằng: - Ký Châu hỏng mất!
于是弃职而去者三十余人。	Vì việc đó có hơn ba mươi người bỏ chức mà đi.
独耿武与关纯伏于城外，以待袁绍。	Cảnh Vũ với Quan Thuần, hai người rủ nhau ra phục ở ngoài cửa thành để đợi Viên Thiệu đến.
数日后，绍引兵至。	Sau vài hôm, Viên Thiệu kéo quân lại.
耿武、关纯拔刀而出，欲刺杀绍。	Cảnh Vũ, Quan Thuần rút dao, nhảy ra chực đâm Viên Thiệu.
绍将颜良立斩耿武，文丑砍死关纯。	Tướng Thiệu là Nhan Lương chém chết Cảnh Vũ; Văn Sú chém chết Quan Thuần.
绍入冀州，以馥为奋威将军，以田丰、沮授、许攸、逢纪分掌州事，尽夺韩馥之权。	Thiệu vào Ký Châu, cho Phức làm phấn uy tướng quân, rồi cho Điền Phong, Thư Thụ, Hứa Du và Phùng Kỷ chia tay nhau ra giữ việc trong châu, đoạt cả quyền của Hàn Phức.
馥懊悔无及，遂弃下家小，匹马往投陈留太守张邈去了。	Phức bấy giờ hối cũng không kịp nữa bực mình bỏ cả nhà cửa vợ con, sang với thái thú Trần Lưu là Trương Mạc.
